russian_word,english_translation,level
"Растроенный, жалеющий",Sorry ,Stage 4
Удолетворенный,Pleased ,Stage 4
"Мне жаль, извените",Sorry ,Stage 4
Иметь (в прошед.времени),Had,Stage 4
Могти (в прошед.времени),Could ,Stage 4
Ребенок,Baby ,Stage 4
"Возможно, наверное",Perhaps ,Stage 4
"Возможно, наверное",Maybe ,Stage 4
Твой/ваш друг,A friend of your ,Stage 4
Сладкий,Sweet ,Stage 4
Сладости,Sweets,Stage 4
"Разговорный, усный",Spoken,Stage 4
Письменный,Written ,Stage 4
Произносить,spell,Stage 4
Общаться,communicate,Stage 4
"Легко, просто",easily,Stage 4
Не иметь (в прошед.времени),hadn’t,Stage 4
Практиковаться,practise,Stage 4
Практика,practice,Stage 4
Спорт,sport,Stage 4
Хотел бы,would like,Stage 4
"Визит, посещение",visit,Stage 4
Австралия,Australia,Stage 4
Использовать,Use,Stage 4
"Использование, польза",Use,Stage 4
Потому что,Therefore,Stage 4
"Звук, шум, звучание",Sound,Stage 4
Дорожное движение,Traffic,Stage 4
"Тихий, безшумный",Silent,Stage 4
"Достичь успехов, успех",Succeed,Stage 4
"Отмечать неудачи, провалиться",Fail,Stage 4
Экзамен,Examination,Stage 4
Здавать экзамен,Take an examination,Stage 4
"Успешно здавать (экзамен, тест)",Pass,Stage 4
"Должен, обязан",Have to,Stage 4
"Работник, рабочий",Worker,Stage 4
Начинающий,Beginner,Stage 4
"Тот, кто много спит",Sleeper,Stage 4
Писатель,Writer,Stage 4
Оратор,Speaker,Stage 4
"Надежда, надеяться",Hope ,Stage 4
Вера,Believe ,Stage 4
Планета,Planet ,Stage 4
Делать покупк,To the shopping ,Stage 4
Ходить по магазинах,Go shopping ,Stage 4
Список,List,Stage 4
"Улыбаться, улыбка",Smile ,Stage 4
Налог,Tax ,Stage 4
Кот,Cat,Stage 4
Собака,Dog,Stage 4
Результат,Result ,Stage 4
"Щасливый, удачный",Lucky ,Stage 4
Уничтожать,Destroy ,Stage 4
Документ,Document ,Stage 4
Буть (3 форма),Been,Stage 4
Шотландия,Scotland ,Stage 4
Преступление,Crime ,Stage 4
Виноватый,Guilty ,Stage 4
Невиновный,Innocent ,Stage 4
Противозаконный,Against the law ,Stage 4
Отпыт,Experience ,Stage 4
На протяжении,For,Stage 4
До теперешнего времени,Up to now ,Stage 4
За много,Too many ,Stage 4
За много,Too much ,Stage 4
Черезмерный,Excessive ,Stage 4
"Век, эпоха",Age,Stage 4
Жениться,Marry,Stage 4
Жениться,Get married ,Stage 4
"Средний, обычный",Average ,Stage 4
Толстый,Thick,Stage 4
Тонкий,Thin,Stage 4
Большой,Big,Stage 4
Маленький,Little ,Stage 4
Швейцария,Switzerland ,Stage 4
Женский кошелек,Purse,Stage 4
Кошелек,Wallet ,Stage 4
Обычно,Usually ,Stage 4
"Терять, потерять",Lose,Stage 4
Находить,Find,Stage 4
Полицейский,Policemen ,Stage 4
Буть злым,To be angry ,Stage 4
Рыба,Fish,Stage 4
Плавать,Swim,Stage 4
Пловець,Swimmer ,Stage 4
Бассейн,Swimming pool ,Stage 4
"Мечта,видеть сон; мечта, сон","Dream, dreamt-dreamt",Stage 4
Кошмар,Nightmare,Stage 4
Сад,Garden,Stage 4
Отказываться,Refuse,Stage 4
Отдельный,Separate ,Stage 4
"Чудесный, милый, красивый",Lovely ,Stage 4
